city,notes,endpoint
Hotan,Atlas de la France divisée en ses 40 gouvernemens généraux et militaires en autant de cartes particulieres avec les principales routes qui traversent les Provinces du Royaume : Assujetties aux nouvelles observations de M. M. de l'Académie R[oya]le des Sciences. Dédié au Roi. (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/btv1b532008966/manifest.json
Hotan,"Carte de la Côte de Guinée et du pays, autant qu'il est connu, depuis la Rivière de Serre-lione jusqu'à celle des Camarones ([Ier état]) / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729 ; Delahaye sculpsit (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b530532334/manifest.json
Hotan,"Carte de la Côte de Guinée et du pays, autant qu'il est connu, depuis la Rivière de Serre-lione jusqu'à celle des Camarones ([Ier état]) / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729 ; Delahaye sculpsit (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b53099694w/manifest.json
Hotan,"Carte de la Côte de Guinée et du pays, autant qu'il est connu, depuis la Rivière de Serre-lione jusqu'à celle des Camarones / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729 ; Delahaye sculpsit (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b531711636/manifest.json
Hotan,"Carte de la Côte de Guinée et du pays, autant qu'il est connu, depuis la Rivière de Serre-lione jusqu'à celle des Camarones ([2e état]) / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729 ; Delahaye sculpsit (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b5973083s/manifest.json
Hotan,"Carte de la Côte de Guinée et du Pays autant qu'il est connu depuis la Rivière de Serre-lioñe jusqu'à celle des Camarones / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729 (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b530090901/manifest.json
Hotan,Plan de la coste de Seyde et des campagnes qui sont aux environs d'ycelle 4 lieües au dessus et autant au dessous (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/btv1b55000205p/manifest.json
Hotan,"Carte de la Côte de Guinée et du pays, autant qu'il est connu, depuis la Rivière de Serre-lione jusqu'à celle des Camarones / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729 ; Delahaye sculpsit (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b530834382/manifest.json
Hotan,[Atlas de Trudaine pour la généralité du Hainaut-Cambrésis] / [par Charles Havez] ; [sous la direction de Daniel-Charles Trudaine] (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/btv1b5969624k/manifest.json
Hotan,La geographie universelle qui fait voir l'estat présent des 4 parties du monde c'est à dire les religions les coutumes & les richesses des peuples les forces & les gouvernements des estats Ce qui est de plus beau & de plus rare dans chaque region & autres particularités pour sçavoir l'histoire & I'interest des princes. On y a joint le traité du globe Par P. Du-Val geographe ordinaire du Roy. Premiere partie (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k8726671v/manifest.json
Hotan,"Atlas du Cosmos, contenant les cartes géographiques, physiques, thermiques... applicables à tous les ouvrages de sciences physiques et naturelles et particulièrement aux oeuvres d'Alexandre de Humboldt et de François Arago / dressées par M. Vuillemin ; gravées sur acier par M. Jacobs ; sous la direction de M. J.-A. Barral (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9618179r/manifest.json
Hotan,"Essai d'Atlas statistique de l'Indochine française : Indochine physique, population, administration, finances, agriculture, commerce, industrie / par Henri Brenier, ... ; Gouvernement général de l'Indochine (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1100178q/manifest.json
Hotan,CIA Reading Room cia-rdp82-00047r000200600001-1: THE 1941 SINKIANG POPULATION SURVEY/SHIFT OF POPULATION SINCE 1941 (Internet Archive),https://iiif.archivelab.org/iiif/cia-readingroom-document-cia-rdp82-00047r000200600001-1/manifest.json
Huangshan,The plan for a super $\eta$ factory at Huizhou accelerator complex (Internet Archive),https://iiif.archivelab.org/iiif/ChinaXiv-202503.00026V1/manifest.json
